,Unnamed: 0,id,start,end,length,quantity_limit,tonnage_limit,max_train_tonnage,optimized trains (task2),tonnage_for_train,optimized trains
0,0.0,0.0,54.0,22.0,27.335,52.0,277320.0,10666.153846153846,26.0,10666,52.0
1,1.0,1.0,22.0,28.0,70.988,102.0,2387478.0,46813.294117647056,51.0,46813,102.0
2,2.0,2.0,32.0,22.0,40.084,74.0,2343746.0,63344.48648648649,37.0,63344,74.0
3,3.0,3.0,48.0,54.0,6.041,10.0,12057.0,2411.4,5.0,2411,10.0
4,4.0,4.0,28.0,27.0,27.031,35.0,2527097.0,144405.54285714286,18.0,140394.27777777778,35.0
5,5.0,5.0,34.0,32.0,128.214,204.0,2344540.0,22985.686274509804,102.0,22985,204.0
6,6.0,6.0,62.0,34.0,42.217,86.0,1319106.0,30676.883720930236,43.0,30676,86.0
7,7.0,7.0,10.0,34.0,17.119,41.0,1888168.0,92105.75609756098,20.0,92105,41.0
8,8.0,8.0,83.0,62.0,39.59,72.0,476521.0,13236.694444444443,36.0,13236,72.0
9,9.0,9.0,2.0,10.0,29.522,66.0,143936.0,4361.69696969697,33.0,4361,66.0
10,10.0,10.0,50.0,10.0,16.77,15.0,624441.0,83258.8,8.0,78055.125,15.0
11,11.0,11.0,77.0,10.0,2.294,162.0,3221433.0,39770.77777777778,81.0,39770,162.0
12,12.0,12.0,58.0,10.0,15.917,37.0,1115669.0,60306.43243243243,18.0,60306,37.0
13,13.0,13.0,63.0,50.0,161.901,143.0,724091.0,10127.146853146853,72.0,10056.819444444445,143.0
14,14.0,14.0,73.0,83.0,93.838,186.0,709251.0,7626.354838709677,93.0,7626,186.0
15,15.0,15.0,72.0,73.0,6.711,11.0,338902.0,61618.545454545456,6.0,56483.666666666664,11.0
16,16.0,16.0,46.0,72.0,4.604,25.0,350618.0,28049.44,12.0,28049,25.0
17,17.0,17.0,46.0,73.0,6.332,16.0,317993.0,39749.125,8.0,39749,16.0
18,18.0,18.0,77.0,71.0,175.908,141.0,3221433.0,45694.085106382976,70.0,45694,141.0
19,19.0,19.0,82.0,46.0,126.75,123.0,116165.0,1888.861788617886,62.0,1873.6290322580646,123.0
20,20.0,20.0,81.0,70.0,32.646,15.0,59388.0,7918.4,8.0,7423.5,15.0
21,21.0,21.0,31.0,79.0,123.876,172.0,992595.0,11541.802325581397,86.0,11541,172.0
22,22.0,22.0,79.0,40.0,196.477,220.0,2626158.0,23874.163636363635,110.0,23874,220.0
23,23.0,23.0,63.0,0.0,289.269,222.0,3221433.0,29021.91891891892,111.0,29021,222.0
24,24.0,24.0,56.0,31.0,60.18,157.0,2958721.0,37690.71337579618,78.0,37690,157.0
25,25.0,25.0,31.0,75.0,25.333,30.0,420638.0,28042.533333333333,15.0,28042,30.0
26,26.0,26.0,4.0,56.0,71.258,89.0,1296670.0,29138.65168539326,44.0,29138,89.0
27,27.0,27.0,55.0,4.0,95.67,87.0,1263158.0,29038.114942528737,44.0,28708.136363636364,87.0
28,28.0,28.0,4.0,5.0,3.971,16.0,1034101.0,129262.625,8.0,129262,16.0
29,29.0,29.0,53.0,55.0,65.608,79.0,1033133.0,26155.26582278481,40.0,25828.325,79.0
30,30.0,30.0,5.0,44.0,40.194,73.0,2722824.0,74597.91780821918,36.0,74597,73.0
31,31.0,31.0,57.0,75.0,113.133,116.0,483736.0,8340.275862068966,58.0,8340,116.0
32,32.0,32.0,47.0,53.0,217.155,335.0,1469632.0,8773.922388059702,168.0,8747.809523809523,335.0
33,33.0,33.0,20.0,47.0,58.046,73.0,978132.0,26798.13698630137,36.0,26798,73.0
34,34.0,34.0,35.0,47.0,128.648,137.0,309010.0,4511.094890510949,68.0,4511,137.0
35,35.0,35.0,15.0,20.0,80.175,105.0,338804.0,6453.409523809524,52.0,6453,105.0
36,36.0,36.0,59.0,20.0,136.282,117.0,875456.0,14965.059829059828,58.0,14965,117.0
37,37.0,37.0,38.0,59.0,15.58,140.0,1520002.0,21714.314285714285,70.0,21714,140.0
38,38.0,38.0,49.0,59.0,51.474,72.0,2811170.0,78088.05555555556,36.0,78088,72.0
39,39.0,39.0,52.0,38.0,41.128,54.0,133875.0,4958.333333333333,27.0,4958,54.0
40,40.0,40.0,13.0,38.0,67.957,78.0,308044.0,7898.5641025641025,39.0,7898,78.0
41,41.0,41.0,29.0,49.0,82.509,21.0,644253.0,61357.42857142857,10.0,61357,21.0
42,42.0,42.0,18.0,13.0,22.791,78.0,255865.0,6560.641025641025,39.0,6560,78.0
43,43.0,43.0,65.0,13.0,49.971,51.0,34300.0,1345.0980392156862,26.0,1319.2307692307693,51.0
44,44.0,44.0,85.0,29.0,132.182,120.0,1098271.0,18304.516666666663,60.0,18304,120.0
45,45.0,45.0,85.0,16.0,72.788,88.0,656970.0,14931.136363636364,44.0,14931,88.0
46,46.0,46.0,25.0,85.0,33.83,42.0,422255.0,20107.380952380958,21.0,20107,42.0
47,47.0,47.0,21.0,25.0,50.006,40.0,337800.0,16890.0,20.0,16890.0,40.0
48,48.0,48.0,78.0,40.0,114.682,123.0,1078233.0,17532.243902439026,61.0,17532,123.0
49,49.0,49.0,6.0,78.0,81.413,54.0,32055.0,1187.2222222222222,27.0,1187,54.0
50,50.0,50.0,78.0,60.0,212.383,186.0,3221433.0,34639.06451612903,93.0,34639,186.0
51,51.0,51.0,71.0,78.0,206.05,144.0,3213148.0,44627.05555555556,72.0,44627,144.0
52,52.0,52.0,40.0,88.0,23.006,182.0,3221433.0,35400.36263736264,91.0,35400,182.0
53,53.0,53.0,31.0,40.0,138.758,185.0,2103370.0,22739.135135135137,92.0,22739,185.0
54,54.0,54.0,70.0,26.0,65.666,80.0,448711.0,11217.775,39.0,11217,78.0
55,55.0,55.0,70.0,71.0,2.34,17.0,142975.0,16820.58823529412,8.0,16820,17.0
56,56.0,56.0,89.0,60.0,115.454,182.0,3221433.0,35400.36263736264,91.0,35400,182.0
57,57.0,57.0,60.0,42.0,28.171,17.0,1050119.0,123543.41176470587,8.0,123543,17.0
58,58.0,58.0,88.0,23.0,53.347,77.0,2569000.0,66727.27272727272,39.0,65871.79487179487,77.0
59,59.0,59.0,88.0,42.0,81.479,150.0,3221433.0,42952.44,75.0,42952,150.0
60,60.0,60.0,89.0,3.0,28.355,30.0,650942.0,43396.13333333333,15.0,43396,30.0
